ÈÈ±Ã±àºÅ,¹¤×÷×´Ì¬,½áÊøµç±íÊý(kWh),½áÊøÈÈ±íÊý(MJ),ÓÃµçÁ¿(kWh),ÖÆÈÈÁ¿(MJ),ÔËÐÐÊ±¼ä
HT100008,ÖÆÈÈ×´Ì¬,11201.32,103060.39,5.94,57.39,2511
HT100008,³ýËª×´Ì¬,11195.38,103003,0.25,-3.48,299
HT100008,ÖÆÈÈ×´Ì¬,11195.13,103006.48,6.06,59.26,2527
HT100008,³ýËª×´Ì¬,11189.07,102947.22,0.3,-3.54,307
HT100008,ÖÆÈÈ×´Ì¬,11188.77,102950.76,6.19,58.41,2527
HT100008,³ýËª×´Ì¬,11182.58,102892.35,0.28,-3.22,313
HT100008,ÖÆÈÈ×´Ì¬,11182.3,102895.57,6.1,58.62,2510
HT100008,³ýËª×´Ì¬,11176.2,102836.95,0.28,-2.89,300
HT100008,ÖÆÈÈ×´Ì¬,11175.92,102839.84,6.03,58.98,2510
HT100008,³ýËª×´Ì¬,11169.89,102780.86,0.35,-3.02,314
HT100008,ÖÆÈÈ×´Ì¬,11169.54,102783.88,5.93,58.49,2511
HT100008,³ýËª×´Ì¬,11163.61,102725.39,0.3,-2.75,304
HT100008,ÖÆÈÈ×´Ì¬,11163.31,102728.14,5.93,58.95,2510
HT100008,³ýËª×´Ì¬,11157.38,102669.19,0.29,-2.42,301
HT100008,ÖÆÈÈ×´Ì¬,11157.09,102671.61,6.02,59.64,2511
HT100008,³ýËª×´Ì¬,11151.07,102611.97,0.23,-3.39,295
HT100008,ÖÆÈÈ×´Ì¬,11150.84,102615.36,6.07,59.54,2510
HT100008,³ýËª×´Ì¬,11144.77,102555.82,0.3,-3.12,310
HT100008,ÖÆÈÈ×´Ì¬,11144.47,102558.94,5.99,59.96,2503
HT100008,³ýËª×´Ì¬,11138.48,102498.98,0.24,-3.29,293
HT100008,ÖÆÈÈ×´Ì¬,11138.24,102502.27,6.02,61.39,2510
HT100008,³ýËª×´Ì¬,11132.22,102440.88,0.28,-3.83,309
HT100008,ÖÆÈÈ×´Ì¬,11131.94,102444.71,7.69,79.2,3167
HT100008,³ýËª×´Ì¬,11124.25,102365.51,0.34,-4.52,366
HT100008,ÖÆÈÈ×´Ì¬,11123.91,102370.03,10.26,103.4,4151
HT100008,³ýËª×´Ì¬,11113.65,102266.63,0.34,-3.61,365
HT100008,ÖÆÈÈ×´Ì¬,11113.31,102270.24,6.86,66.26,2862
HT100008,´ý»ú×´Ì¬,11106.45,102203.98,0.2,0.43,6184
HT100008,ÖÆÈÈ×´Ì¬,11106.25,102203.55,4.26,44.69,1798
HT100008,³ýËª×´Ì¬,11101.99,102158.86,0.32,-4.23,359
HT100008,ÖÆÈÈ×´Ì¬,11101.67,102163.09,8.42,87.46,3471
HT100008,³ýËª×´Ì¬,11093.25,102075.63,0.37,-4.53,375
HT100008,ÖÆÈÈ×´Ì¬,11092.88,102080.16,10.35,108.37,4227
HT100008,³ýËª×´Ì¬,11082.53,101971.79,0.36,-4.81,397
HT100008,ÖÆÈÈ×´Ì¬,11082.17,101976.6,10.65,112.05,4346
HT100008,³ýËª×´Ì¬,11071.52,101864.55,0.39,-5.48,413
HT100008,ÖÆÈÈ×´Ì¬,11071.13,101870.03,12.44,131.9,5018
HT100008,³ýËª×´Ì¬,11058.69,101738.13,0.37,-4.72,411
HT100008,ÖÆÈÈ×´Ì¬,11058.32,101742.85,10.63,114.89,4246
HT100008,³ýËª×´Ì¬,11047.69,101627.96,0.37,-4.27,390
HT100008,ÖÆÈÈ×´Ì¬,11047.32,101632.23,10.34,111.74,4106
HT100008,³ýËª×´Ì¬,11036.98,101520.49,0.38,-4.06,390
HT100008,ÖÆÈÈ×´Ì¬,11036.6,101524.55,8.94,98,3567
HT100008,³ýËª×´Ì¬,11027.66,101426.55,0.37,-4.06,405
HT100008,ÖÆÈÈ×´Ì¬,11027.29,101430.61,8.43,92.93,3350
HT100008,³ýËª×´Ì¬,11018.86,101337.68,0.33,-4.28,377
HT100008,ÖÆÈÈ×´Ì¬,11018.53,101341.96,7.4,83.96,2953
HT100008,³ýËª×´Ì¬,11011.13,101258,0.33,-3.89,371
HT100008,ÖÆÈÈ×´Ì¬,11010.8,101261.89,6.81,77.65,2710
HT100008,³ýËª×´Ì¬,11003.99,101184.24,0.3,-3.41,342
HT100008,ÖÆÈÈ×´Ì¬,11003.69,101187.65,6.28,72.11,2510
HT100008,³ýËª×´Ì¬,10997.41,101115.54,0.42,-3.23,394
HT100008,ÖÆÈÈ×´Ì¬,10996.99,101118.77,3.26,36.42,1342
HT100008,´ý»ú×´Ì¬,10993.73,101082.35,0.37,0.1,16964
HT100008,³ýËª×´Ì¬,10993.36,101082.25,0,0.78,10
HT100008,ÖÆÈÈ×´Ì¬,10993.36,101081.47,6.61,82.14,2615
HT100008,³ýËª×´Ì¬,10986.75,100999.33,0.31,-3.74,330
HT100008,ÖÆÈÈ×´Ì¬,10986.44,101003.07,7.93,98.79,3103
HT100008,³ýËª×´Ì¬,10978.51,100904.28,0.33,-3.67,283
